#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres,sigle,commune,location,phone,email,website,subs_fee,scho_amount,sectors
1,AMERICAN UNIVERSITY OF COTE D'IVOIRE -(AUCI),ABIDJAN,COCODY,0,200 000 (portion de la scolarité du trim.),825,AUCI,COCODY,"COCODY-ANGRE, 8e Tranche,  Proximité Paroisse Jean-Paul II",['27 22 20 69 93'],[email protected],www.auciv.education,200 000 (portion de la scolarité du trim.),435 000 F/trimestre,"['FILIERE(S) DE FORMATION,CYCLE', '']"
2,BORDEAUX ECOLE DE MANAGEMENT -(BEM Abidjan),ABIDJAN,COCODY,0,,1014,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
3,CENTRE UNIVERSITAIRE PROFESSIONNALISE -(CUP),ABIDJAN,COCODY,0,100.000,283,CUP,COCODY,"Centre Universitaire Professionnalisé d’Abidjan sis à la RIVIERA 2 BONOUMIN , non loin de «CAP NORD »",['22493965'],[email protected],//www.cup-ci.org/,100.000,160.000,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : AD / ASSISTANAT DE DIRECTION,BTS', 'BTS : ATPA / AGRICULTURE TROPICALE OPTION PRODUCTION ANIMALE,BTS', 'BTS : ATPV / AGRICULTURE TROPICALE OPTION PRODUCTION VEGETALE,BTS', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', 'BTS : GEE / GENIE ENERGETIQUE ET ENVIRONNEMENT,BTS', ""BTS : GERN / GESTION DE L'ENVIRONNEMENT ET DES RESSOURCES NATURELLES,BTS"", 'BTS : IACC / INDUSTRIES AGRO-ALIMENTAIRES ET CHIMIQUES OPTION CONTROLE,BTS', 'BTS : IACP / INDUSTRIES AGRO-ALIMENTAIRES ET CHIMIQUES OPTION PRODUCTION,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : LOG / LOGISTIQUE,BTS', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,BTS', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', '']"
4,CERAP/UNIVERSITE JESUITE -(CERAP/UJ),ABIDJAN,COCODY,0,,1005,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES ENTREPRISES OPTION MARKETING ET COMMUNICATION,Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
5,ECOLE SUPERIEURE D'INTERPRETARIAT ET DE TRADUCTION -(ESIT),ABIDJAN,COCODY,0,,533,,COCODY,,[''],[email protected],,,,"['FILIERE(S) DE FORMATION,CYCLE', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", ""LICENCE D'ESPAGNOL,Licence"", 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
6,ECOLE SUPERIEURE GADJI_UNIVERSITÉ -(ESUG_UNIVERSITÉ),ABIDJAN,PLATEAU,0,250 000 F,1031,ESUG,PLATEAU,Plateau sorbonne immeuble gyam 1er étage,"['2720220786 ', ' 0505741615  ', ' 0101517258 ', ' 0709136544 ', ' 0140939454']",[email protected],www.groupe- esug.com,250 000 F,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', '']"
7,ECOLE SUPERIEURE LE PETIT CHAMPION_UNIVERSITE -(ESPC_UNIVERSITE),ABIDJAN,ABOBO,0,,1033,,ABOBO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
8,ECOLE SUPERIEURE PLURIDISCIPLINAIRE D'ABIDJAN COCODY -(ESPA COCODY),ABIDJAN,COCODY,0,,826,,COCODY,Cocody 2 Plateaux Angré 7ième Tranche,"['22 41 36 68', ' 68 42 17 23']",[email protected],www.espa-university.tech,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AGRICULTURE TROPICALE,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE MARKETING,Licence', '']"
9,ECOLE SUPERIEURE PLURIDISCIPLINAIRE D'ABIDJAN/YAMOUSSOUKRO -(ESPA YAMOUSSOUKRO),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,860,,YAMOUSSOUKRO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : CV / COMMUNICATION VISUELLE,BTS', 'LICENCE AGRICULTURE TROPICALE,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE MARKETING,Licence', '']"
10,ECOLE TECHNIQUE INFORMATIQUE ET COMMERCIALE-UNIVERSITY -(ETIC-UNIVERSITY),ABIDJAN,COCODY,0,,903,,COCODY,"COCODY 2 PLATEAUX, derrière le siège de l’ONG  SERVIR","['22 41 54 06 ', ' 22 41 15 11']",[email protected],,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE EN GESTION DES RESSOURCES HUMAINES,Licence', '""LICENCE Information, communication et ressources humaines"",', 'LICENCE SCIENCES BIOLOGIQUES (PRIVE),Licence', 'LICENCE SCIENCES MINIERES ET GEOLOGIQUES (PRIVE),Licence', '']"
