#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres
1,AMERICAN UNIVERSITY OF COTE D'IVOIRE -(AUCI),ABIDJAN,COCODY,0,200 000 (portion de la scolarité du trim.),825
2,BORDEAUX ECOLE DE MANAGEMENT -(BEM Abidjan),ABIDJAN,COCODY,0,,1014
3,CENTRE UNIVERSITAIRE PROFESSIONNALISE -(CUP),ABIDJAN,COCODY,0,100.000,283
4,CERAP/UNIVERSITE JESUITE -(CERAP/UJ),ABIDJAN,COCODY,0,,1005
5,ECOLE SUPERIEURE D'INTERPRETARIAT ET DE TRADUCTION -(ESIT),ABIDJAN,COCODY,0,,533
6,ECOLE SUPERIEURE GADJI_UNIVERSITÉ -(ESUG_UNIVERSITÉ),ABIDJAN,PLATEAU,0,250 000 F,1031
7,ECOLE SUPERIEURE LE PETIT CHAMPION_UNIVERSITE -(ESPC_UNIVERSITE),ABIDJAN,ABOBO,0,,1033
8,ECOLE SUPERIEURE PLURIDISCIPLINAIRE D'ABIDJAN COCODY -(ESPA COCODY),ABIDJAN,COCODY,0,,826
9,ECOLE SUPERIEURE PLURIDISCIPLINAIRE D'ABIDJAN/YAMOUSSOUKRO -(ESPA YAMOUSSOUKRO),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,860
10,ECOLE TECHNIQUE INFORMATIQUE ET COMMERCIALE-UNIVERSITY -(ETIC-UNIVERSITY),ABIDJAN,COCODY,0,,903
11,EMMAUS INTERNATIONAL UNIVERSITY -(EIU),ABIDJAN,COCODY,0,,851
12,ETIC UNIVERSTY BONDOUKOU,BONDOUKOU,BONDOUKOU,0,,2123
13,ETIC UNIVERSTY KORHOGO,KORHOGO,KORHOGO,0,,2121
14,ETIC UNIVERSTY ODIENNE,ODIENNE,ODIENNE,0,,2122
15,FACULTES UNIVERSITAIRES PRIVEES D'ABIDJAN -(FUPA),ABIDJAN,COCODY,0,165 000 F CFA,523
16,GLOBAL NUMERIK UNIVERSITY -(GNU),ABIDJAN,COCODY,0,85.000 F,1030
17,HAUTES ETUDES COMMERCIALES D'ABIDJAN -(HEC-ABIDJAN),ABIDJAN,COCODY,0,175 000,273
18,IIPEA UNIVERSITE COCODY,ABIDJAN,COCODY,0,,2092
