rang,total/160,moy/20,mention,nom,ville,commune
1,"135,0","16,88",TRES-BIEN,ECOLE SUPÉRIEURE DE TECHNOLOGIE -(EST-LOKO),ABIDJAN,MARCORY
2,"131,0","16,38",TRES-BIEN,PIGIER COTE D'IVOIRE PLATEAU -(PIGIER CI PLATEAU),ABIDJAN,PLATEAU
3,"130,0","16,25",TRES-BIEN,INSTITUT SUPÉRIEUR TERTIAIRE ET DE TECHNOLOGIE AVANCÉE -(ISTTA) - GROUPE LOKO,ABIDJAN,MARCORY
4,"129,0","16,13",TRES-BIEN,INSTITUT DE FORMATION SUPERIEUR ICK BOUAKE (IFS-ICK),BOUAKE,BOUAKE
5,"128,0","16,0",TRES-BIEN,GROUPE ECOLES D'INGENIEURS AGITEL-FORMATION -(AGITEL),ABIDJAN,RIVIERA
5,"128,0","16,0",TRES-BIEN,HETEC ABOBO,ABIDJAN,ABOBO
5,"128,0","16,0",TRES-BIEN,INSTITUT SUPERIEUR DE TECHNOLOGIE DE COTE D'IVOIRE COCODY -(ISTCI COCODY),ABIDJAN,COCODY
5,"128,0","16,0",TRES-BIEN,INSTITUT UNIVERSITAIRE DE TECHNOLOGIE D'ABIDJAN COCODY -(IUT ABIDJAN COCODY),ABIDJAN,COCODY
5,"128,0","16,0",TRES-BIEN,INSTITUT SUPERIEUR LOUIS LE GRAND -(ISLG),BOUAKE,BOUAKE
10,"126,0","15,75",BIEN,INSTITUT SUPÉRIEUR DE FORMATION DES OPTICIENS -(ISFOP -OPTIQUE LOKO),ABIDJAN,PLATEAU
10,"126,0","15,75",BIEN,INSTITUT FAMAH BONOUMIN -(IF BONOUMIN),ABIDJAN,COCODY
10,"126,0","15,75",BIEN,CENTRE INTERNATIONAL DE FORMATION EN PRESENTIELLE ET A DISTANCE YOPOUGON -(CIFAD YOPOUGON),ABIDJAN,YOPOUGON
10,"126,0","15,75",BIEN,INSTITUT DE RECHERCHE EN SECURITE ET PROTECTION DE L'ENVIRONNEMENT -(IRSPE KIBIO),ABIDJAN,RIVIERA
14,"125,0","15,63",BIEN,INSTITUT SUPÉRIEUR DE FORMATION PROFESSIONNELLE ZONE 4C -(ISFOP Z4C) - GROUPE LOKO,ABIDJAN,MARCORY
14,"125,0","15,63",BIEN,INSTITUT SUPERIEUR DE TECHNOLOGIE DE COTE D'IVOIRE YOPOUGON -(ISTCI YOPOUGON),ABIDJAN,YOPOUGON
14,"125,0","15,63",BIEN,INSTITUT IRAO COCODY -(IRAO COCODY),ABIDJAN,COCODY
14,"125,0","15,63",BIEN,ECOLE PRATIQUE DE LA CHAMBRE DE COMMERCE ET D'INDUSTRIE DE CÔTE D'IVOIRE -(EPCCI),ABIDJAN,PLATEAU
18,"124,0","15,5",BIEN,INSTITUT LKM YOPOUGON ABIDJAN,ABIDJAN,YOPOUGON
18,"124,0","15,5",BIEN,GROUPE CEFIAT SALOMON -(GROUPE CEFIAT SALOMON),ABIDJAN,PLATEAU
18,"124,0","15,5",BIEN,INSTITUT SUPERIEUR DE TECHNOLOGIE DE COTE D'IVOIRE PLATEAU -(ISTCI PLATEAU),ABIDJAN,PLATEAU
21,"123,0","15,38",BIEN,INSTITUT FAMAH ANGRE -(IF ANGRE),ABIDJAN,COCODY
21,"123,0","15,38",BIEN,INSTITUT UNIVERSITAIRE DE TECHNOLOGIE D'ABIDJAN YOPOUGON -(IUT ABIDJAN YOPOUGON),ABIDJAN,YOPOUGON
21,"123,0","15,38",BIEN,ECOLE SUPERIEURE DE GESTION -(ESG),SAN PEDRO,SAN PEDRO
21,"123,0","15,38",BIEN,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS YOPOUGON -(IES-LE CAMPUS YOPOUGON),ABIDJAN,YOPOUGON
25,"122,0","15,25",BIEN,CENTRE INTERNATIONAL DE FORMATION EN PRESENTIELLE ET A DISTANCE COCODY -(CIFAD COCODY),ABIDJAN,COCODY
25,"122,0","15,25",BIEN,INSTITUT FAMAH YOPOUGON -(IF MILLIONNAIRE),ABIDJAN,YOPOUGON
25,"122,0","15,25",BIEN,INSTITUT IRAO YOPOUGON -(IRAO YOPOUGON),ABIDJAN,YOPOUGON
25,"122,0","15,25",BIEN,ECOLE HOTELIERE DE GRAND-BASSAM -(EHB),BASSAM,BASSAM
25,"122,0","15,25",BIEN,INSTITUT SUPÉRIEUR LE PROGRES -(ISLP) - GROUPE LOKO,ABIDJAN,MARCORY
